File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
  ...ackHandler.ts |     100 |      100 |     100 |     100 |                   
  useAuth.ts       |     100 |      100 |     100 |     100 |                   
  useAutoSync.ts   |     100 |       90 |   88.88 |     100 | 90,114            
  useCopyPlan.ts   |     100 |      100 |     100 |     100 |                   
  useDarkMode.ts   |   95.65 |    84.61 |    87.5 |     100 | 8,27              
  useIsDesktop.ts  |     100 |      100 |     100 |     100 |                   
  ...mModalFlow.ts |     100 |    88.88 |     100 |     100 | 47,79             
  ...istManager.ts |     100 |      100 |     100 |     100 |                   
  ...ackHandler.ts |   88.88 |    83.33 |     100 |   88.88 | 24-25             
  ...dalManager.ts |     100 |      100 |     100 |     100 |                   
  ...ackHandler.ts |     100 |     87.5 |     100 |     100 | 33                
  ...hAfterIdle.ts |   94.44 |    85.71 |     100 |     100 | 28                
  ...ackHandler.ts |   47.36 |       50 |      75 |   44.44 | 17-19,25-31       
  ...yNutrition.ts |   95.23 |       75 |     100 |     100 | 29                
 src/schemas       |     100 |       85 |     100 |     100 |                   
  ...ggerSchema.ts |     100 |      100 |     100 |     100 |                   
  ...ciseSchema.ts |     100 |      100 |     100 |     100 |                   
  ...EditSchema.ts |     100 |      100 |     100 |     100 |                   
  ...fileSchema.ts |     100 |    33.33 |     100 |     100 | 47                
  ...EditSchema.ts |     100 |       84 |     100 |     100 | 15-27             
  ...DishSchema.ts |     100 |      100 |     100 |     100 |                   
  ...lateSchema.ts |     100 |      100 |     100 |     100 |                   
  ...fileSchema.ts |     100 |      100 |     100 |     100 |                   
  ...ggerSchema.ts |     100 |      100 |     100 |     100 |                   
 src/services      |   98.07 |    90.23 |   97.34 |   98.92 |                   
  appSettings.ts   |     100 |      100 |     100 |     100 |                   
  ...ionService.ts |   81.39 |    55.55 |   63.63 |   86.48 | 56-63             
  dataService.ts   |     100 |    96.61 |     100 |     100 | 30                
  ...aseService.ts |     100 |     90.9 |     100 |     100 | 77,97             
  geminiService.ts |   97.92 |    95.07 |     100 |   99.37 | 126               
  ...iveService.ts |     100 |      100 |     100 |     100 |                   
  ...ionService.ts |     100 |    97.11 |   93.33 |     100 | 344-345,348       
  ...tionEngine.ts |     100 |      100 |     100 |     100 |                   
  planService.ts   |     100 |    97.36 |     100 |     100 | 40                
  schema.ts        |   98.24 |       75 |     100 |     100 | 31,414            
  syncV2Utils.ts   |   97.65 |    79.35 |     100 |   98.37 | 73,154            
 src/store         |   93.57 |    87.56 |   92.63 |   92.23 |                   
  dayPlanStore.ts  |     100 |      100 |     100 |     100 |                   
  dishStore.ts     |     100 |      100 |     100 |     100 |                   
  fitnessStore.ts  |   88.95 |    83.08 |   86.66 |    87.5 | ...30,441,557-561 
  ...dientStore.ts |     100 |      100 |     100 |     100 |                   
  ...plateStore.ts |     100 |      100 |     100 |     100 |                   
  ...ationStore.ts |     100 |      100 |     100 |     100 |                   
  uiStore.ts       |     100 |      100 |     100 |     100 |                   
 src/utils         |   99.48 |    99.15 |     100 |     100 |                   
  haptics.ts       |     100 |      100 |     100 |     100 |                   
  helpers.ts       |     100 |      100 |     100 |     100 |                   
  ...ompression.ts |     100 |      100 |     100 |     100 |                   
  localize.ts      |     100 |      100 |     100 |     100 |                   
  logger.ts        |     100 |      100 |     100 |     100 |                   
  motion.ts        |   95.65 |    92.85 |     100 |     100 | 31                
  nutrition.ts     |     100 |      100 |     100 |     100 |                   
  tips.ts          |     100 |      100 |     100 |     100 |                   
-------------------|---------|----------|---------|---------|-------------------
